tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
141317	Justicia adhatoda	54617953	0	live	clpP	HJF47_pgp041	ATP-dependent Clp protease proteolytic subunit	ATP-dependent Clp protease proteolytic subunit			NC_047476.1	68580	70595	minus	0		
141317	Justicia adhatoda	54617951	0	live	rpl2	HJF47_pgp001	ribosomal protein L2	ribosomal protein L2			NC_047476.1	147818	149308	plus	0		
141317	Justicia adhatoda	54617950	0	live	rps12	HJF47_pgp042	ribosomal protein S12	ribosomal protein S12			NC_047476.1	68333	68446	minus	0		
141317	Justicia adhatoda	54617950	0	live	rps12	HJF47_pgp042	ribosomal protein S12	ribosomal protein S12			NC_047476.1	95447	96240	minus	0		
141317	Justicia adhatoda	54617949	0	live	rpl23	HJF47_pgp002	ribosomal protein L23	ribosomal protein L23			NC_047476.1	147518	147799	plus	0		
141317	Justicia adhatoda	54617947	0	live	ycf2	HJF47_pgp003	Ycf2	Ycf2			NC_047476.1	140432	147190	minus	0		
141317	Justicia adhatoda	54617946	0	live	ycf15	HJF47_pgp004	Ycf15	Ycf15			NC_047476.1	140228	140341	minus	0		
141317	Justicia adhatoda	54617944	0	live	ndhB	HJF47_pgp005	NADH dehydrogenase subunit 2	NADH dehydrogenase subunit 2			NC_047476.1	137380	139591	plus	0		
141317	Justicia adhatoda	54617943	0	live	rps7	HJF47_pgp006	ribosomal protein S7	ribosomal protein S7			NC_047476.1	136659	137126	plus	0		
141317	Justicia adhatoda	54617933	0	live	ycf1	HJF47_pgp007	Ycf1	Ycf1			NC_047476.1	120114	125351	minus	0		
141317	Justicia adhatoda	54617932	0	live	rps15	HJF47_pgp008	ribosomal protein S15	ribosomal protein S15			NC_047476.1	119438	119710	minus	0		
141317	Justicia adhatoda	54617931	0	live	ndhH	HJF47_pgp009	NADH dehydrogenase subunit 7	NADH dehydrogenase subunit 7			NC_047476.1	118160	119341	minus	0		
141317	Justicia adhatoda	54617930	0	live	ndhA	HJF47_pgp010	NADH dehydrogenase subunit 1	NADH dehydrogenase subunit 1			NC_047476.1	116069	118158	minus	0		
141317	Justicia adhatoda	54617929	0	live	ndhI	HJF47_pgp011	NADH dehydrogenase subunit I	NADH dehydrogenase subunit I			NC_047476.1	115486	115989	minus	0		
141317	Justicia adhatoda	54617928	0	live	ndhG	HJF47_pgp012	NADH dehydrogenase subunit 6	NADH dehydrogenase subunit 6			NC_047476.1	114627	115157	minus	0		
141317	Justicia adhatoda	54617927	0	live	ndhE	HJF47_pgp013	NADH dehydrogenase subunit 4L	NADH dehydrogenase subunit 4L			NC_047476.1	114127	114432	minus	0		
141317	Justicia adhatoda	54617926	0	live	psaC	HJF47_pgp014	photosystem I subunit VII	photosystem I subunit VII			NC_047476.1	113627	113872	minus	0		
141317	Justicia adhatoda	54617925	0	live	ndhD	HJF47_pgp015	NADH dehydrogenase subunit 4	NADH dehydrogenase subunit 4			NC_047476.1	111991	113445	minus	0		
141317	Justicia adhatoda	54617924	0	live	ccsA	HJF47_pgp016	cytochrome c biogenesis protein	cytochrome c biogenesis protein			NC_047476.1	110776	111753	plus	0		
141317	Justicia adhatoda	54617922	0	live	rpl32	HJF47_pgp017	ribosomal protein L32	ribosomal protein L32			NC_047476.1	109906	110061	plus	0		
141317	Justicia adhatoda	54617921	0	live	ndhF	HJF47_pgp018	NADH dehydrogenase subunit 5	NADH dehydrogenase subunit 5			NC_047476.1	107393	109690	minus	0		
141317	Justicia adhatoda	54617911	0	live	rps7	HJF47_pgp019	ribosomal protein S7	ribosomal protein S7			NC_047476.1	94926	95393	minus	0		
141317	Justicia adhatoda	54617910	0	live	ndhB	HJF47_pgp020	NADH dehydrogenase subunit 2	NADH dehydrogenase subunit 2			NC_047476.1	92461	94672	minus	0		
141317	Justicia adhatoda	54617908	0	live	ycf15	HJF47_pgp021	Ycf15	Ycf15			NC_047476.1	91711	91824	plus	0		
141317	Justicia adhatoda	54617907	0	live	ycf2	HJF47_pgp022	Ycf2	Ycf2			NC_047476.1	84862	91620	plus	0		
141317	Justicia adhatoda	54617905	0	live	rpl23	HJF47_pgp023	ribosomal protein L23	ribosomal protein L23			NC_047476.1	84253	84534	minus	0		
141317	Justicia adhatoda	54617904	0	live	rpl2	HJF47_pgp024	ribosomal protein L2	ribosomal protein L2			NC_047476.1	82744	84234	minus	0		
141317	Justicia adhatoda	54617903	0	live	rps19	HJF47_pgp025	ribosomal protein S19	ribosomal protein S19			NC_047476.1	82400	82678	minus	0		
141317	Justicia adhatoda	54617902	0	live	rpl22	HJF47_pgp026	ribosomal protein L22	ribosomal protein L22			NC_047476.1	81948	82340	minus	0		
141317	Justicia adhatoda	54617901	0	live	rps3	HJF47_pgp027	ribosomal protein S3	ribosomal protein S3			NC_047476.1	81270	81935	minus	0		
141317	Justicia adhatoda	54617900	0	live	rpl16	HJF47_pgp028	ribosomal protein L16	ribosomal protein L16			NC_047476.1	79630	81108	minus	0		
141317	Justicia adhatoda	54617899	0	live	rpl14	HJF47_pgp029	ribosomal protein L14	ribosomal protein L14			NC_047476.1	79144	79512	minus	0		
141317	Justicia adhatoda	54617898	0	live	rps8	HJF47_pgp030	ribosomal protein S8	ribosomal protein S8			NC_047476.1	78566	78970	minus	0		
